"","GEOID","Tract","INDI_1_21n1_fam","INDI_1_21n1_sing_women","INDI_1_31n4","INDI_1_31n3","INDI_1_31n7","INDI_1_31n8","INDI_4_22n1","INDI_4_31n1","INDI_4_31n2","INDI_4_31n3","INDI_4_31n4","INDI_4_31n5","INDI_4_31n6","INDI_8_52n1","INDI_8_61n1","INDI_8_61n2_1","INDI_8_61n2_2","Disc_labor","Disc_sc_enroll","STEM_major","INDI_9_22n1","INDI_9_c1n1","inad_plum","inad_rooms","INDI_11_31n2","use_pub_trans","Earn_lessthan_35K_30p_house_cost","percent_of_renters"
"1","","","Current poverty levels as defined by USA, by sections of the population. {family}(des)","Current poverty levels as defined by USA, by sections of the population. {single women}(des)","Percent of people covered by at least one social protection benefit, by sections of the population (FOOD STAMPS) (des)","Percentage of population receiving TANF, by sections of the population","Percent of people with disabilities receiving disability cash benefit (Unemploy)","Unemploy below poverty level, receiving cash benefits","Percentage of 3, and 4 year children attending preschool programs, by section of population.Census 3 to 4 year olds enrolled in school (asc)","Percentage of adults with did not complete high school or high school equivalency, by section of population. {%s high school completeion}.Adults with less than high school (25 yeards old or higher)(desc)","Percentage of adults that complete high school or high school equivalency, by section of population.","Percentage of adults who have attending college, by section of population","Percentage of adults who have earned a 1 year or 2 year professional certificate or an Associates Degree, by section of population.","Unemployment rate, by section of population.","Employment rate of youth ages 15 - 21, by section of the population.Unemployment 16 to 19 years (asc)","Percentage of adults who have earned a Graduate degree or higher, by section of population","High school completion rate, by section of the population. Over 25 years that completed high school (asc)","High school completion rate, by section of the population. Population between 18 and 24 that completed highschool(asc)","Disconected participation labor force of the young","Disconected school enroll of the young","Percent of adults that studied in a STEM field","Ratio of manufacturing jobs to all jobs, by section of population (des)","Availability of high speed data services. (percentage of homes)(asc)","Inadequate Plumbing","Inadequate N of rooms","Ratio of available housing stock to population growth. (affordability). 35% or more of household income (des)","Use public transportation to go to work when they have a vehicle available","Earn less than 35k and spend more than 30% in housing cost","Percent of families that live in a rented place",""
"316","42003516100","Census Tract 5161, Allegheny County, Pennsylvania","10","37.2","6.8","35","0","0.00483729111697449","47.1","97.7","0.0598130841121495","0.118691588785047","0.0532710280373832","0.313084112149533","0.431775700934579","3.5","77.7","97.7","0","59.2744186046512","0.372093023255814","0.206666666666667","6","82.5","0","0.00985915492957747","35.02","0.215123859191656","19.6","0.361971830985916"
"317","42003516200","Census Tract 5162, Allegheny County, Pennsylvania","2.9","14.3","0.8","11","0","0.00634005763688761","100","98.5","0.14209726443769","0.139057750759878","0.0562310030395137","0.237082066869301","0.410334346504559","3.4","79","98.5","0","83.3708333333333","0.416666666666667","0.226570545829042","5","92","0","0.0244470314318976","30.45","0.136504653567735","15.6","0.423748544819558"
"318","42003517000","Census Tract 5170, Allegheny County, Pennsylvania","15.2","30.1","34.7","59","0.0621621621621622","0","43.8","92.5","0.362604087812263","0.181680545041635","0.117335352006056","0.178652535957608","0.0847842543527631","6.3","53.9","92.5","1.5","64.8115151515152","0.503030303030303","0.185286103542234","9.4","69.9","0","0","33.26","0.214899713467049","24.9","0.48326359832636"
"319","42003518001","Census Tract 5180.01, Allegheny County, Pennsylvania","3.4","20.4","2.2","29","0.0118961788031723","0.0108868060562365","50","99.6","0.168711656441718","0.155291411042945","0.0502300613496933","0.35851226993865","0.263420245398773","2.8","67.1","99.6","51","35.7021505376344","0.736559139784946","0.233142857142857","7.8","83.6","0","0","24.16","0.0951248513674197","12.2","0.11857958148383"
"320","42003519000","Census Tract 5190, Allegheny County, Pennsylvania","3.4","0","0.9","32","0","0.0199509403107114","20","99.4","0.144148020654045","0.149311531841652","0.0593803786574871","0.34552495697074","0.295180722891566","6.6","58.5","99.4","18.7","27.3478260869565","0.788819875776398","0.231441048034935","9","90.8","0","0.0047244094488189","29.73","0.029320987654321","7.7","0.103937007874016"
"321","42003520001","Census Tract 5200.01, Allegheny County, Pennsylvania","3.2","15.5","6","28","0.00793350963354741","0.0114846996599924","82.9","96.5","0.30816077953715","0.229801055623224","0.0970361347949655","0.173365814047909","0.157125456760049","6.5","50.6","96.5","32.3","42.1927601809955","0.846153846153846","0.250574712643678","8.6","81.3","0","0","46.64","0.0413416536661466","18.9","0.321119253830779"
"322","42003520002","Census Tract 5200.02, Allegheny County, Pennsylvania","6.1","27.1","10","50","0.00575953923686105","0.00363570914326854","91.3","97.5","0.307948397836038","0.164377861007074","0.10153974198918","0.267998335414066","0.133166874739908","9.4","63.2","97.5","7","49.8058536585366","0.719512195121951","0.275766016713092","8.8","86.3","0","0","35.61","0.0660550458715596","22.1","0.312458361092605"
"323","42003521100","Census Tract 5211, Allegheny County, Pennsylvania","2.9","13.2","4.9","38","0.00403022670025189","0","77.1","98.4","0.287980475899939","0.175411836485662","0.169005491153142","0.222086638194021","0.129957291031117","2.6","69.5","98.4","16.6","74.6234760051881","0.553826199740597","0.276143790849673","4.9","85.6","0","0.0233333333333333","46.46","0.122568093385214","11.8","0.0594444444444444"
"324","42003521200","Census Tract 5212, Allegheny County, Pennsylvania","5.7","44.3","5.2","58","0.0042420814479638","0","100","97.4","0.311470408785845","0.152226967663209","0.12294081757169","0.273642464917633","0.114093959731544","6.6","61.2","97.4","8","53.116265060241","0.801204819277108","0.229942693409742","11.6","87.4","0","0.00884495317377731","29.09","0.0321782178217822","18.5","0.378772112382934"
"325","42003521301","Census Tract 5213.01, Allegheny County, Pennsylvania","15.4","30.9","12","133","0.0184974388161639","0.0016505406943654","36.5","93","0.342164781906301","0.183844911147011","0.07140549273021","0.191599353796446","0.141195476575121","2.7","55.6","93","0","53.7257756563246","0.52744630071599","0.457034938621341","5.2","71.8","0","0","54.5","0.0818965517241379","37.7","0.642175572519084"
